BTmag,e_Plx,e_DEdeg,e_RAdeg,pmDE,pmRA,Plx,Vmag,B-V,VTmag,V-I,Hpmag,e_B-V,e_V-I,r_Vmag,r_SpType,SpType
7.669,0.76,0.43,0.67,-6.57,83.36,7.63,6.47,0.946,6.574,0.94,6.631,0.007,0.01,1,7,1
8.384,0.87,0.49,0.68,62.72,210.16,19.78,7.73,0.537,7.815,0.61,7.8562,0.005,0.01,0,2,0
9.756,0.95,0.68,0.71,-6.84,-1.51,1.96,8.64,0.889,8.736,0.89,8.7954,0.017,0.01,1,0,1
7.712,0.81,0.44,0.79,-53.47,44.86,6.95,6.32,1.099,6.426,0.91,6.4798,0.001,0.03,1,6,1
8.221,0.85,0.53,0.44,-130.74,-110.55,23.9,7.53,0.577,7.597,0.65,7.6563,0.006,0.01,1,1,0
8.846,0.83,0.59,0.62,20.91,61.96,14.25,8.14,0.593,8.199,0.66,8.262,0.011,0.01,1,0,0
6.765,0.75,0.42,0.4,-20.38,-27.19,6.66,6.71,0.068,6.695,0.06,6.7214,0.015,0.0,0,7,0
10.156,1.2,0.67,0.78,1.19,45.23,1.42,8.73,1.124,8.832,1.09,8.9004,0.018,0.02,1,1,1
8.547,0.87,0.48,0.67,-65.92,-62.32,6.27,7.1,1.128,7.218,1.09,7.27,0.008,0.01,1,2,1
9.767,1.32,0.75,1.14,-41.05,130.26,1.4,9.04,0.692,9.129,0.75,9.1658,0.001,0.0,0,2,0
9.869,0.82,0.68,0.63,-560.77,-117.19,62.48,8.49,1.076,8.6,1.2,8.6045,0.018,0.02,0,7,0
8.307,1.15,0.6,1.05,-14.59,-19.41,4.33,8.38,-0.06,8.372,-0.04,8.3696,0.002,0.0,1,3,0
5.958,1.05,0.73,1.26,88.19,-8.29,25.38,4.61,1.029,4.738,1.04,4.7803,0.037,0.02,0,7,1
10.374,1.08,0.68,0.83,-2337.94,5634.07,229.33,8.56,1.462,8.74,2.13,8.6181,0.026,0.01,0,2,0
10.276,1.02,0.77,0.79,-7.08,44.28,1.29,8.78,1.156,8.911,1.12,8.9482,0.023,0.02,1,0,1
7.643,0.76,0.52,0.52,-11.65,33.77,9.55,7.42,0.191,7.436,0.21,7.4839,0.008,0.01,1,0,0
9.531,1.27,0.71,1.07,-59.32,259.85,1.69,8.26,1.052,8.332,1.11,8.3958,0.015,0.02,1,7,0
9.135,0.64,0.55,0.54,66.32,23.81,5.05,7.71,1.093,7.851,1.05,7.8761,0.011,0.01,1,0,1
